# Lines failed conversion in the new file:

chr1	13055697	13055698	-0.908349
chr1	142072714	142072715	-1.038407
chr1	142077029	142077030	-1.025422
chr1	142536527	142536528	0.713707
chr1	143244870	143244871	0.402462
chr1	143390165	143390166	1.153293
chr1	144930281	144930282	-0.170310
chr1	145428093	145428094	0.178410
chr1	146593289	146593290	0.985243
chr1	147089761	147089762	-0.406592
chr1	147184758	147184759	-0.303649
chr1	147300596	147300597	-1.046935
chr1	147863682	147863683	0.293138
chr1	147963647	147963648	0.309683
chr1	148433253	148433254	1.274086
chr1	148485677	148485678	1.347362
chr1	161919690	161919691	-1.069586
chr1	204827312	204827313	1.469658
chr1	233724388	233724389	1.318282
chr2	90985678	90985679	-1.098467
chr2	91032436	91032437	-0.879285
chr2	91060644	91060645	-0.772638
chr2	91066204	91066205	-0.754659
chr2	91067187	91067188	-0.751586
chr2	91068479	91068480	-0.747593
chr2	91068918	91068919	-0.746248
chr2	91069147	91069148	-0.745549
chr2	91069719	91069720	-0.743811
chr2	91070751	91070752	-0.740700
chr2	91096615	91096616	-0.673354
chr2	110752057	110752058	0.493707
chr2	172541720	172541721	1.124232
chr2	172542745	172542746	1.124982
chr2	172543933	172543934	1.125878
chr2	172545016	172545017	1.126718
chr2	172546111	172546112	1.127592
chr2	172547118	172547119	1.128417
chr2	172548260	172548261	1.129377
chr2	233749270	233749271	1.485994
chr2	242393493	242393494	1.652677
chr3	196679848	196679849	1.132033
chr3	196705409	196705410	1.160597
chr3	196706184	196706185	1.161222
chr3	196706595	196706596	1.161546
chr4	116716	116717	-0.410097
chr4	59480639	59480640	-1.392983
chr5	96163	96164	0.620671
chr6	856700	856701	0.713262
chr6	9260260	9260261	-0.803858
chr6	51204279	51204280	-0.898881
chr6	51205411	51205412	-0.896936
chr6	57421199	57421200	-0.729588
chr6	57421597	57421598	-0.731418
chr6	57462324	57462325	-0.898138
chr6	57471409	57471410	-0.928304
chr6	57500114	57500115	-0.999771
chr6	61987302	61987303	-1.479129
chr6	168851405	168851406	-1.200098
chr6	168877603	168877604	-1.205739
chr7	114411	114412	0.589904
chr7	115214	115215	0.589274
chr7	61552745	61552746	-1.486919
chr7	61553558	61553559	-1.489156
chr7	64357313	64357314	-0.144717
chr7	64360010	64360011	-0.142819
chr7	71909471	71909472	1.175354
chr7	71913645	71913646	1.178267
chr7	74764007	74764008	1.448703
chr7	100393603	100393604	1.371439
chr7	100394446	100394447	1.370758
chr7	100395441	100395442	1.369943
chr7	100397197	100397198	1.368475
chr7	100398107	100398108	1.367698
chr7	100399387	100399388	1.366588
chr7	100401945	100401946	1.364303
chr7	141584456	141584457	-0.359276
chr7	141653680	141653681	-0.264300
chr7	141701464	141701465	-0.164776
chr7	141704374	141704375	-0.158129
chr7	141707543	141707544	-0.150861
chr7	141710568	141710569	-0.143904
chr7	141713686	141713687	-0.136719
chr7	141891782	141891783	0.174244
chr7	141893220	141893221	0.175553
chr7	141894697	141894698	0.176893
chr7	141896395	141896396	0.178428
chr7	141899179	141899180	0.180938
chr7	141900412	141900413	0.182048
chr7	141901952	141901953	0.183434
chr7	141903074	141903075	0.184444
chr7	141904675	141904676	0.185888
chr7	141906150	141906151	0.187220
chr7	141907536	141907537	0.188474
chr7	141908839	141908840	0.189657
chr7	141910349	141910350	0.191033
chr7	142156261	142156262	0.500064
chr7	142157777	142157778	0.502656
chr7	142159418	142159419	0.505436
chr7	142161128	142161129	0.508300
chr7	142162368	142162369	0.510355
chr7	142163965	142163966	0.512974
chr7	142165298	142165299	0.515135
